,salary
110532,471952.64
110533,390111.98
110537,344187.46
110534,339653.7
110540,335484.96
110541,329390.54
110535,326716.76
110536,326233.44
110544,322143.1
110543,311650.36
110538,311298.55
110539,310161.02
110546,307099.61
110547,306117.53
110552,295894.31
110542,294000.18
110555,289247.63
110545,287489.84
110575,287479.58
110595,286436.35
110578,285329.47
110556,284695.1
110549,283661.73
110548,282619.96
110550,282003.76
110551,281537.17
110584,280664.38
110565,279764.49
110566,277886.28
110592,277581.77
110567,276823.46
110583,276495.41
110563,276317.84
110553,274824.1
110554,274824.08
110557,271863.53
110571,271490.89
110594,270408.27
110558,268946.02
110559,267914.01
110560,267914
110561,267914
110562,267914
110618,267902.74
110574,266485.27
110564,265865.64
110576,264437.6
110579,262497.35
110609,260943.62
110581,260595.11
110570,259564.18
110573,258676.54
110568,258570.98
110611,257051.52
110588,256741.67
110653,255122.55
110591,255066.89
110619,254919.54
110569,254578.48
110626,253736.41
110580,252813.85
110587,252487.83
110572,252149.01
110640,252066.66
110675,250764.87
110601,250479.36
110577,249505.88
110605,249025.21
110590,248767.06
110593,248616.04
110649,247614.88
110606,247285.83
110597,246928.4
110631,246770.38
110596,246766.53
110628,246470.66
110656,246243.01
110600,246203.71
110612,245664.41
110667,245245.54
110598,244898.19
110639,244821.22
110629,244803.51
110589,244516.29
110661,244444.58
110657,244429.63
110585,244209.18
110602,244209.17
110613,243398.56
110669,243349.9
110582,243005
110616,242967.98
110604,242870.21
110607,242870.2
110650,242479.49
110674,242028.08
110651,241984.28
110599,241390.9
110702,240947.51
110713,240766.21
110685,240040.46
110586,240008.92
110623,239744.98
110617,239700.33
110664,239699.01
110655,239635.47
110643,239559.82
110697,239023.1
110673,238682.81
110621,238598.6
110633,238110.12
110637,237672.7
110625,237489.08
110635,236865.23
110636,236794.75
110627,236721.3
110696,236402.85
110634,236292.99
110647,235920.65
110615,235919.95
110603,235462.09
111051,235345.23
110641,235300.59
110620,235275.6
110680,235192.92
110703,235176.77
110725,234934.78
110690,234800.59
110733,234575.11
110691,234568.41
110632,234399.5
110638,234097.74
110721,233802.24
110678,233612.54
110658,233269.15
110909,233158.83
110730,232755.39
110608,232489.33
110710,232481.72
110808,232277.63
110646,232087.88
110722,232071.18
110681,231677.42
110660,231623.12
110610,231523.83
110663,231508.64
110668,231447.44
110614,231435.01
110699,231192.23
110688,230535.75
110754,230371.75
110666,229970.11
110672,229865.98
110740,229647.76
110707,229451.31
110724,229436.02
110728,229246.6
110750,229217.11
110665,229212.01
110659,229163.7
110736,228875.74
110741,228693.72
110748,228584.94
110622,228566.89
110776,228505.95
110719,228427.07
110832,228401.92
110749,228224.14
110783,228146.19
110624,227992.03
110720,227400.67
110670,227370
110679,227292.8
110686,227017.27
110630,226832.02
110804,226825.63
110751,226486.74
110727,226247.24
110964,226165.08
110791,225926.04
110683,225808
110700,225600.92
110706,225470.99
110798,225271.3
110642,225118.12
110854,224813.84
110676,224732.38
110825,224604.64
110715,224457.08
110695,224389.98
110705,224322.03
110644,224249.9
110770,224159.46
110775,224147.46
110645,223951.89
110648,223870.9
110692,223721.11
110708,223601.53
110684,223570.38
110734,223569.03
110830,223499.6
110803,223438.67
110745,223419.02
110797,223372.67
110694,223306.43
110712,223274.28
110891,223196.56
110838,223105.9
110925,223002.93
110711,222899.17
110652,222893.9
110905,222831.56
110716,222109.03
110813,222098.42
110800,222086.26
110902,221921.44
110693,221788.38
110654,221676.97
110662,221676.97
110845,221593.01
110867,221545.96
110931,220947.38
110731,220804.67
110718,220704.86
110787,220661.56
110821,220617.22
110709,220532
110726,220530.62
110732,220524.98
110818,220371.96
110682,220238.54
110862,220021.64
110940,219788.24
110814,219558.35
110773,219506.76
110785,219273.94
110704,219265.3
110677,219212.28
110671,219184.68
110723,219184.67
110701,219060.99
110739,219032.8
110843,218970.89
110737,218907.21
110879,218902.74
110822,218666.57
110972,218462.21
110919,218322.89
110811,218082.89
110819,218008.43
110887,217868.08
110687,217851.02
110746,217437.37
111008,217305.58
110689,217248.49
110921,217197.81
111005,217151.9
110761,217132.04
110906,217060.86
110747,216979.04
110863,216971.36
110820,216946.42
110934,216830.56
110866,216772.33
110873,216655.47
110922,216542.35
110753,216424.43
110796,216408.93
110923,216325.63
110807,216237.42
111040,216014.63
110864,215953.77
110963,215940.82
110859,215806.53
110729,215697.64
110847,215694.8
110877,215686.06
110763,215659.74
110880,215564.28
110764,215536.23
110786,215527.34
110835,215476.02
110975,215464.73
110974,215430.33
110857,215351.68
110916,215113.91
110917,215016.39
110784,214934.23
110762,214822.9
110735,214801.54
110752,214739
110958,214585.71
110756,214431.02
110780,214176.13
110988,214067.14
110915,213739.02
110765,213608.9
110769,213278.01
110936,213252.31
111017,213201.42
110698,212759.3
110855,212748.88
110824,212730.61
110789,212700.03
110774,212672.54
111096,212657.66
110777,212610.06
110778,212610.06
110779,212610.04
110788,212594.14
111291,212535.9
110809,212534.01
111015,212465.9
110938,212453.21
110907,212316.7
111009,212218.48
110911,212153.37
111104,211978.99
110962,211810.22
110758,211785.35
111150,211724.08
111036,211683.29
111010,211590.73
110991,211540.14
110966,211527.87
110802,211455.88
110717,211427.44
110790,211406.03
111046,211361.9
110806,211360.59
110884,211336.44
110831,211288.15
111042,211268.44
110826,211232
111003,211195.49
111037,211104.13
110795,211057.6
110924,211039.18
111156,211029.94
111054,210905.02
111134,210865.35
110856,210842.92
111045,210795.6
110833,210508.48
110965,210504.93
110886,210497.2
110801,210474.24
110810,210117.92
110982,210107.8
111140,210033.64
111044,210009.42
110823,209928
110714,209911.81
110992,209844.46
111109,209792.78
111155,209783.37
110920,209461.94
111011,209341.42
110918,209287.74
111030,209229.42
110948,209180.95
112251,209110.8
110888,209048.29
111105,209001.95
110996,208957.21
111007,208889.86
110999,208860
110828,208817.99
110829,208817.88
110827,208817.82
111061,208807.35
111094,208793.81
110851,208750.52
110852,208750.44
110853,208750.42
110738,208412
110872,208324.76
111057,208294.35
110742,208248.79
111013,208195.22
111018,208188.19
110903,208154.37
110870,208041.87
110939,207970.36
111107,207969.53
110799,207939.47
110837,207912.49
111199,207875.17
110876,207792.95
111228,207757.07
111152,207752.53
111117,207698.3
110743,207693.49
111025,207687.54
110768,207654.94
110865,207609.78
111217,207570.81
110961,207423.24
111038,207348.05
111023,207343.04
111119,207309.43
111234,207303.58
110890,207257.19
111196,207224.66
111333,207176.23
111137,207051.15
110858,207035.66
110836,207017.08
111250,207014.66
111050,206977.42
110861,206926.03
110989,206924.05
110760,206878.3
110882,206876.52
110755,206872.05
111032,206784.18
110881,206722.52
110968,206472.91
111058,206470.94
111084,206388.44
110980,206385.62
111337,206383.96
110910,206374.06
111020,206323.14
111108,206296
110927,206257.25
110904,206245.65
110759,206194.19
111177,206161.97
111162,206111.56
111019,206096
111055,206094.09
111142,206068.77
110875,206063.91
110892,206038.6
110744,205967.18
110912,205916.23
110841,205893.28
110995,205854.82
110781,205843.39
110767,205813.37
110970,205726.47
111169,205711.07
111060,205680.84
111301,205528.88
111067,205427.31
110935,205326.24
111102,205275.53
110959,205251.2
111083,205245.66
111039,205161.13
110772,205142.46
110771,205142.4
110757,205107.99
110883,205036.06
110885,204866.24
110889,204866.21
110932,204767.22
110933,204766.09
111106,204674.59
111014,204630.27
111191,204611.75
110908,204560
111027,204555.69
110782,204479.73
111151,204478.61
110901,204453.93
111241,204431.21
110893,204422.1
110894,204422.07
110895,204422.06
110896,204422.04
110897,204422.04
110898,204422.01
110899,204422
110900,204422
111165,204420.18
111172,204336.1
110766,204248.97
111221,204094.92
111111,204077.44
110913,204038.45
110914,204028.03
111095,203971.87
110930,203963.02
111201,203816
111223,203809.88
110792,203682.89
110793,203682.64
111124,203681.84
111323,203641.99
111251,203634.79
111321,203630.87
111143,203602.19
110926,203598.91
111123,203569.65
110794,203447.24
110805,203447.24
111146,203435.26
111136,203352.8
110986,203352.04
110957,203350.16
111235,203308.09
111428,203125.74
110971,203112.61
111049,203101.38
110983,203021.33
111391,202949.1
111024,202818.82
110869,202799.69
111244,202766.19
110812,202737.86
111254,202710.79
111052,202633.4
110942,202608.51
110943,202608.5
110944,202608.5
110945,202593.81
110949,202566.02
110950,202546.02
110951,202546.02
110952,202546.02
110953,202546.02
110954,202546.01
110955,202546
110967,202521.8
111031,202511.14
110977,202445.22
111157,202442.48
111314,202313.2
111012,202308.6
111022,202276.03
110815,202185.18
111866,202145.01
111064,202044.66
110816,202039.36
110817,202039.33
111243,202029.81
111097,201976.58
110937,201929.01
111026,201882.89
111339,201881.61
111135,201834.94
110993,201679.04
111021,201670.88
111033,201621.34
111000,201584.44
111121,201467.04
110973,201445.8
111268,201438.31
111402,201406.87
111192,201294.95
110834,201294.51
111173,201213.38
110997,201183.63
110978,201181.01
111168,201113.33
111464,201060.08
111034,200935.31
110998,200860.65
111289,200849.97
111041,200798.1
110984,200791.52
110985,200791.5
111115,200745.4
111190,200591.41
112232,200515.97
